(140000, 60000, 70000)
(113000, 53000, 69000)
(115000, 53000, 65000)
(114000, 56000, 69000)
(113000, 48000, 75000)
(117000, 54000, 66000)
(115000, 55000, 70000)
(115000, 53000, 67000)
(119000, 51000, 71000)
(119000, 57000, 75000)
(130000, 52000, 69000)
(120000, 58000, 73000)
(122000, 54000, 71000)
(126000, 60000, 76000)
(126000, 56000, 76000)
(129000, 58000, 78000)
(127000, 57000, 75000)
(130000, 57000, 76000)
(130000, 61000, 84000)
(133000, 62000, 77000)
(134000, 56000, 78000)
(132000, 56000, 77000)
(134000, 61000, 81000)
(135000, 64000, 79000)
(137000, 67000, 81000)
(139000, 62000, 81000)
(138000, 83000, 88000)
(162000, 68000, 93000)
(143000, 70000, 86000)
(145000, 68000, 86000)
(146000, 74000, 92000)
(145000, 63000, 86000)
(146000, 74000, 93000)
(149000, 82000, 98000)
(149000, 81000, 94000)
(151000, 77000, 90000)
(155000, 72000, 89000)
(157000, 70000, 90000)
(195000, 75000, 94000)
(158000, 80000, 97000)
(158000, 74000, 95000)
(160000, 113000, 105000)
(174000, 79000, 101000)
(163000, 85000, 100000)
(165000, 75000, 105000)
(167000, 78000, 98000)
(166000, 69000, 116000)
(171000, 85000, 101000)
(170000, 84000, 102000)
(168000, 85000, 102000)
(173000, 80000, 103000)
(171000, 86000, 104000)
(173000, 79000, 104000)
(177000, 86000, 105000)
(174000, 81000, 107000)
(181000, 89000, 110000)
(206000, 82000, 106000)
(181000, 85000, 105000)
(184000, 89000, 105000)
(185000, 86000, 104000)
(184000, 86000, 108000)
(188000, 85000, 107000)
(189000, 89000, 115000)
(190000, 82000, 110000)
(191000, 112000, 114000)
(209000, 90000, 124000)
(195000, 96000, 124000)
(228000, 98000, 116000)
(193000, 84000, 113000)
(195000, 83000, 113000)
(198000, 99000, 117000)
(198000, 87000, 116000)
(202000, 99000, 150000)
(202000, 88000, 115000)
(203000, 92000, 116000)
(202000, 92000, 126000)
(207000, 99000, 126000)
(208000, 89000, 119000)
(210000, 100000, 125000)
(213000, 99000, 119000)
(210000, 108000, 128000)
(223000, 107000, 128000)
(217000, 113000, 125000)
(222000, 98000, 139000)
(218000, 97000, 122000)
(218000, 99000, 131000)
(217000, 103000, 138000)
(220000, 104000, 131000)
(220000, 98000, 133000)
(224000, 102000, 130000)
(227000, 102000, 127000)
(225000, 117000, 136000)
(225000, 109000, 134000)
(227000, 103000, 134000)
(232000, 106000, 137000)
(228000, 113000, 135000)
(233000, 107000, 133000)
(237000, 103000, 135000)
(232000, 117000, 139000)
(237000, 113000, 138000)
(238000, 111000, 142000)
(239000, 113000, 134000)
(242000, 110000, 142000)
(244000, 114000, 144000)
(245000, 117000, 149000)
(244000, 115000, 176000)
(248000, 107000, 146000)
(244000, 113000, 159000)
(249000, 113000, 143000)
(257000, 119000, 152000)
(255000, 122000, 146000)
(256000, 112000, 154000)
(253000, 130000, 157000)
(255000, 121000, 152000)
(264000, 133000, 166000)
(258000, 132000, 164000)
(257000, 123000, 156000)
(263000, 114000, 152000)
(261000, 125000, 151000)
(267000, 115000, 151000)
(263000, 141000, 169000)
(264000, 149000, 165000)
(270000, 118000, 154000)
(270000, 121000, 190000)
