(149042, 135542, 115834)
(137750, 127417, 105792)
(144416, 128042, 110792)
(157375, 134625, 119791)
(140125, 128459, 107125)
(136625, 126833, 105416)
(167708, 142000, 132417)
(162500, 139833, 118708)
(160167, 139792, 121666)
(175167, 149083, 135541)
(169958, 146834, 130708)
(165000, 143875, 125916)
(164875, 144625, 126125)
(187042, 156417, 142709)
(204917, 169792, 154458)
(165875, 146083, 126500)
(180375, 155542, 137000)
(190459, 161667, 145042)
(215458, 175584, 162541)
(199250, 167791, 150584)
(181875, 158000, 138583)
(172041, 153500, 131167)
(205750, 171916, 155834)
(193542, 167667, 148084)
(217292, 179791, 164625)
(234625, 188584, 182041)
(220208, 182208, 165792)
(223958, 184875, 168208)
(248541, 197000, 185375)
(232417, 190458, 175667)
(244542, 198666, 183666)
(241417, 197458, 181167)
(232333, 191125, 173917)
(226209, 189916, 171917)
(247250, 200000, 185125)
(247208, 202791, 185917)
(265333, 212084, 198959)
(277125, 218375, 207666)
(240625, 199750, 182166)
(281084, 222541, 209958)
(256875, 211125, 191666)
(265292, 215792, 198875)
(280542, 223459, 212083)
(288750, 228459, 216417)
(296292, 233583, 221541)
(277833, 226583, 208041)
(324875, 249000, 240833)
(296375, 236083, 221291)
(294750, 234042, 222292)
(298250, 237542, 225125)
(337459, 260833, 251792)
(328291, 255750, 247459)
(296917, 238292, 224167)
(298167, 241875, 224833)
(306083, 245791, 229292)
(363042, 274458, 270084)
(342542, 265167, 256917)
(350167, 270042, 262250)
(338000, 263667, 253166)
(308334, 250125, 231625)
(347500, 272083, 257459)
(322791, 258000, 244375)
(374833, 283000, 277000)
(379625, 289375, 282917)
(378375, 289208, 281750)
(367667, 284500, 274417)
(379292, 290542, 283750)
(398125, 301167, 295417)
(413083, 309542, 306041)
(397042, 302125, 298166)
(402666, 306500, 300375)
(347583, 278375, 259500)
(418583, 317375, 312125)
(391750, 302792, 291417)
(391875, 304750, 291917)
(401458, 307041, 296250)
(433208, 325917, 321375)
(430541, 325209, 322834)
(454459, 338000, 338208)
(468791, 346250, 347167)
(480209, 353459, 355375)
(495708, 360209, 364459)
(451375, 337667, 335208)
(468917, 348083, 347625)
(457875, 344125, 339375)
(494417, 364500, 367292)
(433500, 332625, 322000)
(486209, 361875, 360750)
(493708, 365583, 367667)
(474750, 357209, 353458)
(498667, 370833, 371708)
(473584, 356625, 350708)
(514583, 379542, 380958)
(456250, 352292, 340375)
(485750, 364250, 363208)
(530833, 386125, 393958)
(541375, 396750, 400333)
(487375, 368750, 362750)
(539708, 395750, 399291)
(531125, 393167, 395542)
(521833, 389667, 389875)
(550750, 407458, 405250)
(527666, 395167, 393583)
(553334, 405625, 410416)
(609042, 436375, 450500)
(547833, 404291, 405834)
(564458, 417125, 425625)
(559917, 408875, 414834)
